iter	RMSE
249	4.534994342
250	4.532841887
251	4.530786807
252	4.527365591
253	4.522532894
254	4.520133349
255	4.517802448
256	4.513486724
257	4.512487575
258	4.510901686
259	4.509652601
260	4.50765937
261	4.502314487
262	4.501597231
263	4.498688277
264	4.492515723
265	4.487439428
266	4.485567394
267	4.484393862
268	4.479033009
269	4.477513649
270	4.472428664
271	4.471711754
272	4.469497327
273	4.466112954
274	4.462069214
275	4.459118474
276	4.45462808
277	4.450294374
278	4.447014175
279	4.445882465
280	4.444090133
281	4.436165408
282	4.429743707
283	4.42455015
284	4.422579857
285	4.418355333
286	4.41620362
287	4.413722142
288	4.409316001
289	4.405853977
290	4.404529555
291	4.402068121
292	4.399330549
293	4.395208817
294	4.393136736
295	4.388127798
296	4.385910569
297	4.379966427
298	4.3779202
299	4.376250717
300	4.374294844
301	4.371869031
302	4.366782192
303	4.365167336
304	4.360365157
305	4.356539631
306	4.354766235
307	4.351413758
308	4.34717415
309	4.345664577
310	4.344335945
311	4.343264802
312	4.340360851
313	4.335909236
314	4.332907076
315	4.325602166
316	4.322284716
317	4.319825973
318	4.317785992
319	4.311764237
320	4.31038302
321	4.308302537
322	4.304552742
323	4.299790299
324	4.292821403
325	4.291823929
326	4.290906745
327	4.285722947
328	4.280922149
329	4.279765257
330	4.277558196
331	4.276988788
332	4.275455057
333	4.272070946
334	4.26725168
335	4.261294451
336	4.255805178
337	4.251161956
338	4.248953143
339	4.245103991
340	4.244037288
341	4.243127309
342	4.241592218
343	4.237070259
344	4.233328243
345	4.228034354
346	4.222528292
347	4.218595426
348	4.214193145
349	4.211825829
350	4.209387293
351	4.208870982
352	4.207801599
353	4.202332942
354	4.197371458
355	4.194648034
356	4.192810942
357	4.189694022
358	4.183266798
359	4.177374777
360	4.176542607
361	4.170776202
362	4.169450441
363	4.164758359
364	4.15928891
365	4.157355295
366	4.15345912
367	4.153329159
368	4.152559278
369	4.150233605
370	4.146155005
371	4.140983291
372	4.137280733
373	4.134810319
374	4.130398463
375	4.129432746
376	4.124846001
377	4.121446303
378	4.120052859
379	4.11522532
380	4.112587233
381	4.108516212
382	4.105240851
383	4.101647655
384	4.097335812
385	4.092425622
386	4.089909828
387	4.088397303
388	4.086934892
389	4.082411141
390	4.078311461
391	4.073640437
392	4.071196386
393	4.067194539
394	4.064374798
395	4.062547638
396	4.060819257
397	4.055474508
398	4.051143385
399	4.047733552
400	4.046127122
401	4.042157091
402	4.038958482
403	4.034968072
404	4.032308261
405	4.03104771
406	4.028199604
407	4.025764907
408	4.020506315
409	4.019586889
410	4.017610688
411	4.014019021
412	4.011060548
413	4.010248736
414	4.010126713
415	4.00786315
416	4.007736244
417	4.005878401
418	4.002798261
419	4.002204571
420	4.000587947
421	3.997239726
422	3.99492606
423	3.992660551
424	3.988698173
425	3.98548972
426	3.984642291
427	3.980247079
428	3.979414233
429	3.976022433
430	3.973446535
431	3.969874111
432	3.964269542
433	3.961328575
434	3.959787881
435	3.95803522
436	3.957228583
437	3.954611565
438	3.951901153
439	3.948402848
440	3.945478083
441	3.940619318
442	3.937890254
443	3.935227161
444	3.934205462
445	3.932613681
446	3.931974541
447	3.927668024
448	3.922738152
449	3.919599039
450	3.91866014
451	3.914033426
452	3.912138326
453	3.909355385
454	3.907031263
455	3.905825137
456	3.904760317
457	3.901881994
458	3.897301984
459	3.892091123
460	3.888614891
461	3.885711656
462	3.88501401
463	3.882495557
464	3.881426183
465	3.88045924
466	3.879957849
467	3.877447196
468	3.875246887
469	3.873611787
470	3.868766937
471	3.865873601
472	3.863833274
473	3.862117923
474	3.860376418
475	3.857921513
476	3.854349967
477	3.853971906
478	3.850982487
479	3.847209523
480	3.845404377
481	3.841182651
482	3.839309336
483	3.834849694
484	3.830271626
485	3.828501246
486	3.826836074
487	3.825450456
488	3.825080997
489	3.8213433
490	3.818011742
491	3.816864593
492	3.814791596
493	3.814380303
494	3.812674839
495	3.810408711
496	3.808910574
497	3.807102905
498	3.804409408
499	3.802161826
500	3.796780596
501	3.794091598
502	3.793097662
503	3.791199628
504	3.787350565
505	3.782867046
506	3.781303658
507	3.776705604
508	3.773875427
509	3.772357955
510	3.769505481
511	3.766427426
512	3.76092468
513	3.75842181
514	3.756730084
515	3.755867532
516	3.753746935
517	3.750534809
518	3.750009549
519	3.747817598
520	3.744769144
521	3.742182913
522	3.739377391
523	3.737736026
524	3.735427044
525	3.731872256
526	3.730111861
527	3.72808009
528	3.725205603
529	3.72346243
530	3.721051942
531	3.716473727
532	3.712972662
533	3.711247456
534	3.709965269
535	3.708029414
536	3.70651588
537	3.703982765
538	3.70194891
539	3.699212523
540	3.698943476
541	3.696320236
542	3.692818654
543	3.690941064
544	3.688119033
545	3.685167767
546	3.682055014
547	3.678152347
548	3.677735661
549	3.677513545
550	3.676099429
551	3.675356742
552	3.673435764
553	3.669653487
554	3.667665886
555	3.665051736
556	3.663943083
557	3.661567671
558	3.660950026
559	3.659772923
560	3.65756643
561	3.655387388
562	3.652489847
563	3.651891657
564	3.650645608
565	3.649463961
566	3.647112322
567	3.64518745
568	3.642154158
569	3.640076925
570	3.639115326
571	3.634775948
572	3.630138615
573	3.627006971
574	3.626895521
575	3.625652746
576	3.62375528
577	3.619884818
578	3.619397562
579	3.616656355
580	3.612060666
581	3.61033067
582	3.608328273
583	3.606014275
584	3.605694609
585	3.60310318
586	3.601580627
587	3.60100314
588	3.600768929
589	3.597222362
590	3.596324648
591	3.594200786
592	3.592619488
593	3.590804062
594	3.589114298
595	3.586209344
596	3.583667026
597	3.580705061
598	3.577731409
599	3.573605941
600	3.572340628
601	3.570255524
602	3.569873897
603	3.568563846
604	3.567064815
605	3.566588122
606	3.564189777
607	3.561884002
608	3.558873561
609	3.555253364
610	3.552360254
611	3.55044644
612	3.546538862
613	3.545115012
614	3.542308807
615	3.539400159
616	3.536065553
617	3.533675444
618	3.531717496
619	3.530369222
620	3.527966993
621	3.524555224
622	3.520829894
623	3.51917779
624	3.51812756
625	3.515872253
626	3.514049337
627	3.512387243
628	3.510386134
629	3.507934349
630	3.506287007
631	3.504778052
632	3.504220532
633	3.50146253
634	3.499607922
635	3.497883918
636	3.496234428
637	3.493119933
638	3.491422265
639	3.488959427
640	3.486584045
641	3.486138997
642	3.484308475
643	3.479496547
644	3.477210288
645	3.475248434
646	3.472431347
647	3.469704645
648	3.466775921
649	3.4651349
650	3.46237121
651	3.460121694
652	3.459071621
653	3.456660027
654	3.454646475
655	3.450895974
656	3.447488023
657	3.445960495
658	3.443593729
659	3.441151608
660	3.435396165
661	3.430310687
662	3.42721349
663	3.425344928
664	3.424326679
665	3.422233588
666	3.420618153
667	3.418514136
668	3.416474731
669	3.414437283
670	3.414357488
671	3.410991703
672	3.410694299
673	3.410217624
674	3.40895046
675	3.406725526
676	3.404824739
677	3.402042325
678	3.399261039
679	3.398270438
680	3.39667945
681	3.394249564
682	3.39395451
683	3.393565219
684	3.393277398
685	3.390849126
686	3.388425074
687	3.385621935
688	3.383501672
689	3.381462305
690	3.381059929
691	3.380943245
692	3.378448062
693	3.37725229
694	3.375113477
695	3.3746219
696	3.374360368
697	3.37343836
698	3.371519042
699	3.370286372
700	3.368717965
701	3.367054417
702	3.366260039
703	3.366004653
704	3.365240315
705	3.364150708
706	3.362379
707	3.358257706
708	3.355986634
709	3.354721704
710	3.35353476
711	3.351958483
712	3.350217398
713	3.347731954
714	3.347541201
715	3.343819249
716	3.342982375
717	3.340799144
718	3.338428052
719	3.336095235
720	3.333996441
721	3.33251059
722	3.331034659
723	3.330353728
724	3.328303088
725	3.327485432
726	3.325494431
727	3.325190598
728	3.324625011
729	3.323104029
730	3.320802852
731	3.318751687
732	3.317264084
733	3.315228748
734	3.313482967
735	3.313137992
736	3.311828159
737	3.309569413
738	3.307740576
739	3.303779089
740	3.303689349
741	3.301474498
742	3.299977913
743	3.29807966
744	3.294692079
745	3.29420293
746	3.292369304
747	3.290409136
748	3.287095649
749	3.28387128
750	3.283510492
751	3.283021663
752	3.282791846
753	3.281913995
754	3.280561139
755	3.278872142
756	3.275170312
757	3.272609741
758	3.271893721
759	3.270642369
760	3.269190275
761	3.268234589
762	3.266677357
763	3.265946143
764	3.264143225
765	3.261722983
766	3.25997235
767	3.259051167
768	3.257232457
769	3.256851007
770	3.25663654
771	3.254716264
772	3.252080894
773	3.250960915
774	3.250045453
775	3.249200877
776	3.248002305
777	3.245862515
778	3.244257366
779	3.243573097
780	3.241950094
781	3.240314697
782	3.240064771
783	3.235813459
784	3.233390791
785	3.23120521
786	3.229346987
787	3.22913449
788	3.227772751
789	3.224400984
790	3.224194815
791	3.222133702
792	3.220472725
793	3.218907948
794	3.218699746
795	3.218642804
796	3.217375749
797	3.217132867
798	3.21514634
799	3.211899848
800	3.211661561
801	3.211131902
802	3.209425286
803	3.208162492
804	3.207548822
805	3.205454969
806	3.204685261
807	3.202439648
808	3.202392627
809	3.200976043
810	3.199635295
811	3.196707806
812	3.194921303
813	3.194327172
814	3.193938354
815	3.192762225
816	3.189511494
817	3.187889315
818	3.184978444
819	3.183167733
820	3.182028016
821	3.180272778
822	3.177305273
823	3.175244234
824	3.174884755
825	3.174239715
826	3.174044306
827	3.17311067
828	3.171998906
829	3.171891519
830	3.170610568
831	3.16909001
832	3.168072148
833	3.167336298
834	3.163365921
835	3.162750264
836	3.160616131
837	3.159106072
838	3.157116707
839	3.154049437
840	3.152649594
841	3.151670633
842	3.150557084
843	3.148261287
844	3.147034307
845	3.145127806
846	3.14400204
847	3.143271634
848	3.14192058
849	3.141701555
850	3.141649361
851	3.140476351
852	3.138406826
853	3.13708384
854	3.134353021
855	3.131902951
856	3.129692983
857	3.12917449
858	3.12641725
859	3.124158395
860	3.120578241
861	3.119741074
862	3.116966186
863	3.115957967
864	3.114196718
865	3.11252697
866	3.107967826
867	3.106259948
868	3.104215248
869	3.103960888
870	3.101715384
871	3.10086625
872	3.098728923
873	3.097728265
874	3.097478517
875	3.096540289
876	3.095313471
877	3.09348708
878	3.092488982
879	3.091033484
880	3.089038697
881	3.088710635
882	3.088018487
883	3.08568547
884	3.085389716
885	3.083394677
886	3.082134641
887	3.080375826
888	3.079883002
889	3.07804108
890	3.076274785
891	3.076064751
892	3.074651214
893	3.07269174
894	3.071875707
895	3.070541507
896	3.070371968
897	3.068454077
898	3.067652023
899	3.066265905
900	3.064346719
901	3.06409268
902	3.063729648
903	3.06239711
904	3.060874171
905	3.059919565
906	3.056530565
907	3.054933047
908	3.052838307
909	3.052016477
910	3.051213781
911	3.049710397
912	3.048797001
913	3.048405291
914	3.04696774
915	3.046665659
916	3.046090335
917	3.045855442
918	3.045244229
919	3.042527084
920	3.039377738
921	3.039212638
922	3.039168188
923	3.038709232
924	3.036187163
925	3.035922228
926	3.034047191
927	3.032815992
928	3.030692612
929	3.029970113
930	3.02900407
931	3.028833362
932	3.027471822
933	3.027408865
934	3.026270834
935	3.025204118
936	3.023773608
937	3.019721658
938	3.018339897
939	3.016221289
940	3.014383553
941	3.013411407
942	3.013182663
943	3.009921943
944	3.009787984
945	3.008889579
946	3.007419189
947	3.004548188
948	3.002919561
949	3.002851533
950	3.002136111
951	3.001923053
952	3.001258523
953	2.999631995
954	2.999501645
955	2.998580258
956	2.996592748
957	2.994033459
958	2.991232047
959	2.990319999
960	2.990085766
961	2.988684853
962	2.985824442
963	2.983821338
964	2.981269584
965	2.980452995
966	2.978212811
967	2.978058463
968	2.97660733
969	2.975329641
970	2.972334669
971	2.97134213
972	2.969451564
973	2.966196499
974	2.963718846
975	2.960986972
976	2.96028707
977	2.960183039
978	2.958994889
979	2.958878167
980	2.955719657
981	2.954536258
982	2.951992648
983	2.951106861
984	2.950093385
985	2.950060394
986	2.948901976
987	2.948221984
988	2.945068674
989	2.944321073
990	2.943865864
991	2.943356368
992	2.941492331
993	2.939701787
994	2.939077716
995	2.937717468
996	2.936567371
997	2.935635546
998	2.934849649
999	2.933306905
