iter	Passed	Remaining
484	676	718
485	678	717
486	679	715
487	680	714
488	682	712
489	683	711
490	684	709
491	685	708
492	687	706
493	688	705
494	690	703
495	691	702
496	692	700
497	693	699
498	695	698
499	696	696
500	697	695
501	699	693
502	700	692
503	701	690
504	703	689
505	705	688
506	706	686
507	707	685
508	708	683
509	710	682
510	711	680
511	712	679
512	714	677
513	715	676
514	716	675
515	718	673
516	719	672
517	720	670
518	722	669
519	724	668
520	725	667
521	727	666
522	728	664
523	730	663
524	731	661
525	732	660
526	733	658
527	735	657
528	736	655
529	737	654
530	739	652
531	740	651
532	741	649
533	743	648
534	744	646
535	745	645
536	746	643
537	748	642
538	749	641
539	750	639
540	752	638
541	754	637
542	755	636
543	757	635
544	759	633
545	760	632
546	761	630
547	762	629
548	764	627
549	765	626
550	766	624
551	767	623
552	769	621
553	770	620
554	772	619
555	773	617
556	774	616
557	776	614
558	777	613
559	778	611
560	779	610
561	781	608
562	782	607
563	784	606
564	785	604
565	786	603
566	787	601
567	789	600
568	790	598
569	791	597
570	793	596
571	794	594
572	795	592
573	797	591
574	798	590
575	799	588
576	801	587
577	802	585
578	803	584
579	805	582
580	806	581
581	807	579
582	808	578
583	810	577
584	811	575
585	812	574
586	813	572
587	815	571
588	816	569
589	817	568
590	819	566
591	820	565
592	822	564
593	823	562
594	825	561
595	826	560
596	827	558
597	829	557
598	831	556
599	833	555
600	834	554
601	836	552
602	837	551
603	838	550
604	840	548
605	841	547
606	842	545
607	844	544
608	846	543
609	847	541
610	848	540
611	850	539
612	851	537
613	852	536
614	854	535
615	856	533
616	857	532
617	858	530
618	860	529
619	861	528
620	863	527
621	864	525
622	866	524
623	867	522
624	868	521
625	870	519
626	871	518
627	872	517
628	874	515
629	875	514
630	877	513
631	878	511
632	879	510
633	881	508
634	882	507
635	884	506
636	885	504
637	886	503
638	887	501
639	889	500
640	891	499
641	892	497
642	893	496
643	895	494
644	896	493
645	898	492
646	899	490
647	900	489
648	901	487
649	903	486
650	904	484
651	905	483
652	907	481
653	908	480
654	909	479
655	910	477
656	911	476
657	913	474
658	914	473
659	915	471
660	916	470
661	917	468
662	919	467
663	920	465
664	921	464
665	923	463
666	924	461
667	925	460
668	926	458
669	928	457
670	929	455
671	930	454
672	932	452
673	933	451
674	935	450
675	936	449
676	938	447
677	939	446
678	941	444
679	942	443
680	943	442
681	945	440
682	947	439
683	948	438
684	950	436
685	951	435
686	953	434
687	954	432
688	956	431
689	958	430
690	960	429
691	961	427
692	962	426
693	964	425
694	965	423
695	967	422
696	968	421
697	969	419
698	971	418
699	972	416
700	974	415
701	975	414
702	977	412
703	978	411
704	979	409
705	980	408
706	982	407
707	983	405
708	984	404
709	987	403
710	989	402
711	990	400
712	992	399
713	993	397
714	994	396
715	996	395
716	997	393
717	999	392
718	1000	391
719	1002	389
720	1003	388
721	1004	386
722	1005	385
723	1007	383
724	1008	382
725	1009	381
726	1011	379
727	1012	378
728	1013	376
729	1015	375
730	1016	374
731	1018	372
732	1019	371
733	1020	369
734	1021	368
735	1022	366
736	1024	365
737	1025	364
738	1027	362
739	1028	361
740	1030	360
741	1031	358
742	1033	357
743	1034	356
744	1036	354
745	1037	353
746	1039	351
747	1040	350
748	1041	349
749	1043	347
750	1044	346
751	1045	344
752	1046	343
753	1048	342
754	1049	340
755	1050	339
756	1052	337
757	1053	336
758	1054	334
759	1055	333
760	1057	332
761	1058	330
762	1059	329
763	1060	327
764	1062	326
765	1064	325
766	1065	323
767	1066	322
768	1068	320
769	1069	319
770	1070	317
771	1071	316
772	1073	315
773	1074	313
774	1075	312
775	1077	311
776	1078	309
777	1080	308
778	1081	306
779	1082	305
780	1083	303
781	1085	302
782	1086	301
783	1087	299
784	1089	298
785	1090	296
786	1091	295
787	1092	294
788	1094	292
789	1095	291
790	1097	289
791	1098	288
792	1099	287
793	1100	285
794	1102	284
795	1103	282
796	1104	281
797	1106	280
798	1107	278
799	1109	277
800	1110	275
801	1111	274
802	1112	273
803	1114	271
804	1115	270
805	1116	268
806	1118	267
807	1119	265
808	1120	264
809	1121	263
810	1123	261
811	1124	260
812	1125	258
813	1127	257
814	1128	256
815	1129	254
816	1130	253
817	1132	251
818	1133	250
819	1134	249
820	1136	247
821	1138	246
822	1139	245
823	1141	243
824	1142	242
825	1144	241
826	1145	239
827	1146	238
828	1148	236
829	1149	235
830	1150	234
831	1152	232
832	1153	231
833	1155	229
834	1156	228
835	1157	227
836	1159	225
837	1160	224
838	1161	222
839	1163	221
840	1164	220
841	1165	218
842	1167	217
843	1169	216
844	1170	214
845	1172	213
846	1173	211
847	1174	210
848	1176	209
849	1177	207
850	1178	206
851	1179	204
852	1181	203
853	1183	202
854	1184	200
855	1186	199
856	1187	198
857	1188	196
858	1190	195
859	1191	193
860	1192	192
861	1193	191
862	1195	189
863	1196	188
864	1198	186
865	1199	185
866	1201	184
867	1202	182
868	1203	181
869	1205	180
870	1206	178
871	1207	177
872	1209	175
873	1210	174
874	1212	173
875	1213	171
876	1215	170
877	1216	169
878	1217	167
879	1218	166
880	1220	164
881	1221	163
882	1222	162
883	1224	160
884	1225	159
885	1226	157
886	1228	156
887	1229	155
888	1231	153
889	1232	152
890	1233	150
891	1235	149
892	1236	148
893	1238	146
894	1239	145
895	1240	143
896	1242	142
897	1243	141
898	1244	139
899	1246	138
900	1247	137
901	1248	135
902	1249	134
903	1251	132
904	1252	131
905	1253	130
906	1254	128
907	1255	127
908	1257	125
909	1258	124
910	1259	123
911	1261	121
912	1262	120
913	1263	118
914	1264	117
915	1265	116
916	1267	114
917	1268	113
918	1269	111
919	1271	110
920	1272	109
921	1274	107
922	1275	106
923	1276	105
924	1278	103
925	1279	102
926	1281	100
927	1282	99
928	1283	98
929	1284	96
930	1286	95
931	1288	93
932	1289	92
933	1290	91
934	1291	89
935	1293	88
936	1294	87
937	1295	85
938	1296	84
939	1298	82
940	1299	81
941	1300	80
942	1302	78
943	1303	77
944	1305	75
945	1306	74
946	1307	73
947	1308	71
948	1310	70
949	1311	69
950	1312	67
951	1313	66
952	1315	64
953	1316	63
954	1318	62
955	1319	60
956	1320	59
957	1322	57
958	1323	56
959	1324	55
960	1325	53
961	1326	52
962	1328	51
963	1329	49
